image_id,year,image_path,mean_brightness,mean_red,mean_green,mean_blue
00076,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/3875_alvin-record_544798_Meny, Hotell Freden, 1885/3875 0002.jpg",0.9529514032725767,0.9760001769193593,0.9796225144987574,0.9032315183996136
00077,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/6028_alvin-record_546873_Meny, Grand Hotel, 1885/0001.jpg",0.6843703058425374,0.7573207526681558,0.7091700406428394,0.586620124216617
00078,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/6028_alvin-record_546873_Meny, Grand Hotel, 1885/0002.jpg",0.7294721757569614,0.7916339049305854,0.7550475809240972,0.6417350414162015
00079,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/6176_alvin-record_547318_Meny, Grand Hotel, 1885/0001.jpg",0.6534710875090777,0.7200751703815429,0.6786871630774818,0.5616509290682085
00080,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/6176_alvin-record_547318_Meny, Grand Hotel, 1885/0002.jpg",0.7151887965927858,0.7718719733357053,0.7431017379229917,0.6305926785196606
00081,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/6176_alvin-record_547318_Meny, Grand Hotel, 1885/0003.jpg",0.695603418478355,0.7543213563608466,0.7218249605047589,0.6106639385694597
00082,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/6176_alvin-record_547318_Meny, Grand Hotel, 1885/0004.jpg",0.7074030134279647,0.7672013645866099,0.734183660513002,0.6208240151842824
00083,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/6181_alvin-record_547394_Meny, Grand Hotel, 1885/0001.jpg",0.654673374276111,0.7204537063222725,0.6781444428733032,0.5654219736327579
00084,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/6181_alvin-record_547394_Meny, Grand Hotel, 1885/0002.jpg",0.7263825747592944,0.7766592708992199,0.7520916515127556,0.6503968018659078
00085,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/6193_alvin-record_547105_Meny, Grand Hotel, 1885/0001.jpg",0.6429457574278518,0.7068088445980111,0.6659931518273499,0.5560352758581942
00086,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/6193_alvin-record_547105_Meny, Grand Hotel, 1885/0002.jpg",0.7243203328179003,0.7698678988938508,0.7520919550739144,0.6510011444859357
00087,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/6193_alvin-record_547105_Meny, Grand Hotel, 1885/0003.jpg",0.70880929249441,0.760675329753612,0.7354354118292052,0.6303171359004128
00088,1885,"data/MA_Menyer/menus_by_year_swedish_only/1885/6193_alvin-record_547105_Meny, Grand Hotel, 1885/0004.jpg",0.721254326131288,0.769291568045424,0.748541577745874,0.6459298326025662
